experiment,repeticion,sin,con,numpy,python,Reficiente,R
100,1,0.004972,0.003475,0.000968,,0.002052069,0.275470972
100,2,0.004572,0.003427,0.000948,,0.002463818,0.237931013
100,3,0.005439,0.004768,0.0009391,,0.001675129,0.292486906
100,4,0.004857,0.003399,0.001025,,0.002266884,0.239003897
100,5,0.004686,0.003396,0.0012283,,0.001003981,0.244292974
100,6,0.004672,0.003415,0.00088,,0.014900923,0.250683069
100,7,0.004519,0.003402,0.0009469,,0.001118898,0.255506039
100,8,0.004867,0.003338,0.000936,,0.000914097,0.246921062
100,9,0.004785,0.003331,0.000973,,0.001055002,0.253752947
100,10,0.004762,0.003389,0.000893,,0.001469851,0.25820303
200,1,0.042935,0.027337,0.009351,,0.079761982,2.120001078
200,2,0.043307,0.029624,0.009611,,0.011365891,1.946323872
200,3,0.043435,0.02849,0.011065,,0.01320982,1.985955
200,4,0.042459,0.027071,0.00863,,0.012861967,1.790250063
200,5,0.04257,0.028526,0.00835,,0.010709047,1.768816948
200,6,0.044725,0.026402,0.01116991,,0.013828039,1.715674162
200,7,0.043277,0.028137,0.00849,,0.013080835,1.70531106
200,8,0.043473,0.061892,0.0085062,,0.013450861,1.759767056
200,9,0.042676,0.025795,0.00929,,0.01134181,1.89327693
200,10,0.043106,0.027953,0.0087,,0.012111902,1.816216946
300,1,0.157658,0.061287,0.03142,,0.032110929,5.900969982
300,2,0.154878,0.061032,0.030774,,0.029336214,5.741079092
300,3,0.154813,0.062081,0.02989,,0.033773899,6.030907869
300,4,0.152181,0.06911,0.031255,,0.034205914,5.655731916
300,5,0.16724,0.062775,0.030717,,0.031415939,5.891386032
300,6,0.154102,0.063248,0.03143,,0.029221058,5.979218006
300,7,0.152184,0.064301,0.030411,,0.038522959,8.859688997
300,8,0.152923,0.062216,0.0281541,,0.032490015,6.204164982
300,9,0.152157,0.061787,0.02885,,0.0280509,5.686128139
300,10,0.158221,0.061352,0.02941,,0.048989058,8.535508871
400,1,0.379794,0.213862,0.087065,,0.060513973,13.7770741
400,2,0.378962,0.21785,0.0805044,,0.058580875,13.41415691
400,3,0.378496,0.219965,0.079061,,0.061177015,15.43022108
400,4,0.380362,0.214993,0.08816,,0.086489916,13.02091908
400,5,0.377033,0.287418,0.085702,,0.079123974,13.81084704
400,6,0.727968,0.325193,0.08428,,0.060398817,13.81361103
400,7,0.429608,0.277733,0.08351,,0.059966087,12.79179502
400,8,0.391426,0.233326,0.0845518,,0.058334112,13.29590297
400,9,0.606552,0.236574,0.08335,,0.060452938,13.24711704
400,10,0.873017,0.226992,0.084771,,0.061367035,13.99170399
500,1,0.845719,0.310953,0.1518278,,0.153208017,26.11528301
500,2,0.817242,0.316804,0.157668,,0.113256931,26.14954591
500,3,0.812977,0.311188,0.15527,,0.122332096,25.70966578
500,4,0.808431,0.30657,0.1559281,,0.108997822,25.59786391
500,5,0.813177,0.306793,0.18138,,0.102097988,25.39545894
500,6,0.839987,0.304497,0.15232,,0.112216949,25.29527307
500,7,0.818545,0.306726,0.157107,,0.1048069,25.06311417
500,8,0.8577,0.309091,0.152282,,0.109333992,25.62104201
500,9,0.889936,0.310603,0.149502,,0.105338812,24.90227604
500,10,0.816161,0.330203,0.151524,,0.104502201,26.76339698
